Collection_LocationId,COLLECTION_LOCATION_UUID,branchNumber,COLLECTION_TYPE,FRIENDLY_IDENTIFIER,OPERATION_TYPE
7008,6ba29fd6-be84-4e48-82fe-127999de8a18,2835,STORE_COLLECT,PA,POD
7262,a9e1e38c-3366-48e6-bfdd-e3aec61b9a4d,2836,STORE_COLLECT,PA,POD
7124,8cee3a52-dbd2-4889-8575-e2bd2c02c690,2840,STORE_COLLECT,PA,POD
,7776,2846,STORE_COLLECT,CA,NONPOD
7046,3f99dfa2-e19a-416a-90c1-e6a7f27606cf,2848,STORE_COLLECT,PA,POD
7258,b44c4d48-522b-49e6-b9ad-7c9498f963aa,2849,STORE_COLLECT,CA,POD
7659,ed83858f-7913-4ad7-af96-3e15632b2aff,2850,STORE_COLLECT,CA,NONPOD
7766,cb085443-ff94-4a15-b0d4-23279c464de2,2856,STORE_COLLECT,CA,NONPOD
7648,3084245e-351d-46ed-b572-6664d761a668,2857,STORE_COLLECT,CA,NONPOD
7501,c1c60466-136f-46c7-82c7-2700698b7a5f,2876,STORE_COLLECT,PA,POD
7181,7181,2877,STORE_COLLECT,PA,POD
7266,2d965b5f-0d53-41f1-b696-9f09392d19bc,2880,STORE_COLLECT,CA,POD
7469,34a50298-e532-4d76-8237-51289799021c,2882,COLLECT_FROM_LOCATION,SA,NONPOD
7133,a4619d1f-f7f7-4089-a756-10de68db0b38,2882,STORE_COLLECT,CA,POD
7101,8f3b7388-71e4-4e1b-a90d-cbe7fb0f5e10,2885,STORE_COLLECT,PA,POD
7072,80d2c123-a31c-48d2-abe0-559c229a8e36,2886,STORE_COLLECT,CA,NONPOD
7013,0d6d068c-794f-4868-88cc-2ea36ee2c153,2898,STORE_COLLECT,CA,NONPOD
7438,bff5c1ae-e0af-4ae0-a7a2-83ef8dcd2b5c,2898,COLLECT_FROM_LOCATION,SA,NONPOD
7389,4c9f8061-2009-4395-83d8-5bdbad0989e1,2900,STORE_COLLECT,CA,NONPOD
7681,84e9dc44-0bd5-4836-a41a-ab4459b7e0a5,2907,STORE_COLLECT,CA,NONPOD
7128,3c212dca-ba9c-405a-835b-10deb28f5843,2917,STORE_COLLECT,PA,POD
7263,2f29865f-47d2-4881-944a-99466e50dc87,2919,STORE_COLLECT,VA,NONPOD
7434,ceb66554-cc76-4493-80e2-51957d4fa56e,2919,COLLECT_FROM_LOCATION,SA,NONPOD
7236,b03d6383-9d4c-4c3f-9ae7-ef26844e9c0a,2920,STORE_COLLECT,CA,POD
7538,8c459e71-6600-458e-a075-01324b6e1062,2924,STORE_COLLECT,PA,POD
7483,56445b3d-cbc8-494d-9c20-d121cae65ff8,2933,STORE_COLLECT,PA,POD
7194,9cfd0bc7-11e3-474b-abaa-3d5558308633,2934,STORE_COLLECT,CA,POD
7082,58366a6c-be02-4c48-ad61-0f6d8ccba559,2943,STORE_COLLECT,CA,NONPOD
7145,f0f974a1-bb44-40d5-9247-39aad9ce44cb,2947,STORE_COLLECT,PA,POD
